# Hate group DNS Blocklist
# - Based off 
#       - Southern Poverty Law Center's list of hate groups. 
#           - https://www.splcenter.org/fighting-hate
#           - https://www.splcenter.org/hate-map -- Click "Download Data"
#       - Center for Countering Digital Hate
#           - https://counterhate.co.uk
#       - Other resources:
#           - https://nowtoronto.com/news/canada-islamophobic-groups/
# 
# - URL: https://tch3.net/hg-dnsbl/blocklist.txt
#        
# - File format:
#   Name|website|category|date-added|date updated/checked|anything-else
#
# - I started this list ~2018 and only using 2016+ data
#
# - Lines beginning with 
#       ? are groups/domains that are not in the list, but are on the SPLC site.
#       + are newly added groups in the list.
#       - are active groups which have been in previous year's lists, but 
#         are not in the current year's list
#       x are domains which no longer exist (nx) (removed from configs)
#       d are domains which still exist, but are non-functional (remain in configs)
#       r are groups which are no longer in the list
#
###########################################################################
### Custom
###########################################################################
American Free Press|americanfreepress.net|General Hate|2016|2020
- American Guard|theamericanguard.org|General Hate|2017|2020
Bill Keller Ministries|liveprayer.com|General Hate|2016|2020
Chick Publications|chick.com||General Hate|2016|2020
Concerned Citizens and Friends of Illegal Immigration Law Enforcement|ccfile.com|General Hate|2016|2020
- Cultural Studies Press|culturalstudiespress.com|General Hate|2016|2020
Dixie Giftshop|dixiegiftshop.com|General Hate|2018|2020
European-American Evangelistic Crusades|eaec.org|General Hate|2018|2020
European-American Evangelistic Crusades|eaec-se.org|General Hate|2018|2020
Fundamentalist Latter Day Saints|flds.org|General Hate|2016|2020
d - Hatreon|hatreon.net|General Hate|2017|2020
## Hell Shaking Street Preachers (Patriot Prayer)|N/A|General Hate|2018|2020
Insight USA|insightusa.us|General Hate|2016|2020
## Jamaat al-Muslimeen|N/A|General Hate|2016|2020
Jewish Defense League|jdl.org|General Hate|2016|2020
Jewish Defense League|jdl-canada.com|General Hate|2016|2020
Jewish Defense League|jdl-uk.org|General Hate|2016|2020
Jewish Defense League|jdl-germany.org|General Hate|2016|2020
Jewish Task Force|jtf.org|General Hate|2016|2020
## Kingston Group (Latter Day Church of Christ)|N/A|General Hate|2017|2020
## Last Frontier Evangelism - Repent Alaska|N/A: FB|General Hate|2017|2020
Lordship Church|lordshipchurch.org|General Hate|2016|2020
Luxor Couture|luxorcouture.com|General Hate|2018|2020
## Masjid al Islam - As Sabiqun|N/AGeneral Hate|2016|2020
## Nationalist Liberty Union|N/AGeneral Hate|2018|2020
Official Street Preachers|officialstreetpreachers.com|General Hate|2016|2020
Official Street Preachers|officialstreetpreachers.blogspot.com|General Hate|2016|2020
Ozark Craft LC|puttroopsontheborder.com|General Hate|2016|2020
## Patriot Movement AZ|N/A: FB|General Hate|2018|2020
Power of Prophecy|texemarrs.com|General Hate|2016|2020
Proud Boys|proudboysusa.com|General Hate|2017|2020
Proud Boys|officialproudboys.com|General Hate|2017|2020
Proud Boys (fundraising)|1776.shop|General Hate|2017|2020
Proud Boys/Gavin McInnes|freespeech.tv|General Hate|2019|2020
Reformation-Bible Puritan-Baptist Church/Vatican Assassins|vaticanassassins.org|General Hate|2016|2020
Rense Radio Network|renseradio.com|General Hate|2016|2020
Rense Radio Network (Archives)|renseradioarchives.com|General Hate|2016|2020
Rense Radio Network (Jeff Rense)|rense.com|General Hate|2016|2020
## Samanta Roy Institute of Science and Technology|N/A|General Hate|2016|2020
Sharkhunters International|sharkhunters.com|General Hate|2016|2020
Sons of Liberty Media (formerly You Can Run But You Cannot Hide)|sonsoflibertymedia.com|General Hate|2016|2020
The Brother Nathanael Foundation|brothernathanaelfoundation.org|General Hate|2016|2020
## The King Samir Black Survival Group|N/A|General Hate|2019|2020
The United Nuwaupians Worldwide/All Eyes on Egipt|unwonline.org|General Hate|2018|2020
The United Nuwaupians Worldwide/All Eyes on Egipt|unwonline-uk.org|General Hate|2018|2020
Tony Alamo Christian Ministries|alamoministries.com|General Hate|2016|2020
Wotan's Nation|wotansnation.org|General Hate|2019
#
#
###########################################################################
### Hate Music
###########################################################################
American Defense Records|birthriteservices.com|Hate Music|2016|2020
BeaSSt Productions|beasstproductions.com|Hate Music|2018|2020
Elegy Records|elegyrecords.org|Hate Music|2017|2020
## Hostile Class Productions|N/A|Hate Music|2016|2020
d - Hypgnosis Records|hypgnosisrecords.bigcartel.com|Hate Music|2018|2020
- Hypgnosis Records (unofficia)|hipgnosiscovers.com|Hate Music|2018|2020
ISD Records/NS88 Video|isdrecords.com|Hate Music|2016|2020
d - Label56|label56.com|Hate Music|2016|2020
Micetrap Distribution (combat 18)|micetrap.net|Hate Music|2016|2020
MSR Productions|msrproductions.com|Hate Music|2016|2020
NSM88 Records|nsm88records.com|Hate Music|2016|2018
